49781,54763,25299,8
49974,5785,25690,1
24629,26219,16057,12
24975,50196,32930,4
10168,22169,31892,2
39294,1617,20408,8
28579,7920,46817,12
37545,24442,1578,1
33964,45841,29481,12
6344,56569,2117,4
33104,53429,10542,1
23216,3595,34786,12
36822,46740,58787,0
17192,4250,19420,4
19382,3061,13911,0
21693,5444,39770,0
18096,43132,25977,8
56155,33309,36197,4
8388,49716,15386,5
3154,16046,19336,8
45405,36670,40897,8
16431,34122,34747,4
39974,27203,54575,0
10396,32710,16190,0
16829,49011,57162,12
8674,34007,7444,8
4375,21390,25828,12
17510,5782,12912,12
21579,19296,39542,0
11952,14954,58159,0
30935,30581,52927,8
19895,32897,40918,12
48395,19013,17062,8
22081,11125,14005,0
36994,11467,22771,12
27748,31472,22737,12
11293,28725,14763,1
49238,34886,17162,12
2964,20605,38037,5
47142,17931,31658,4
56840,41399,29442,8
46390,47851,43564,8
4872,20669,8986,12
59908,26484,52082,12
17796,53751,45129,0
45090,42969,11223,12
32875,50502,61,1
49965,12694,37202,0
27037,38855,8866,12
42021,6495,13200,0
59252,33984,53052,12
52395,55607,41523,12
16711,15044,7834,5
1457,56411,7179,0
32671,21694,18351,10
44415,5448,19539,0
53416,34034,28525,12
58581,2208,56351,5
39793,21288,1510,13
9894,59469,4664,12
30885,25587,33089,0
53475,53315,8507,12
16980,57405,58338,5
21095,26679,57933,12
47190,12946,4837,4
19268,40543,45819,0
6770,15051,55021,4
49762,3494,4480,13
55447,21019,39377,4
35410,59148,34835,0
1981,39339,33528,12
2465,8719,12691,0
591,42126,56333,8
11800,54912,31021,0
55637,38190,57281,1
10216,19905,58597,12
12059,30812,32366,12
24710,58824,32464,12
983,1719,25762,12
29512,4065,59028,12
32708,51157,21018,8
53213,105,49030,8
31953,20204,3350,4
55907,53904,558,12
1201,21826,15615,0
26232,51576,9846,0
31791,17676,30478,8
45646,6126,52364,4
17145,22760,54998,8
30688,13811,38593,12
46716,22387,40597,12
30028,35080,33259,0
53352,49831,46709,4
7750,11922,5426,12
9475,34253,15594,8
42579,27348,39018,2
10721,22873,34529,0
35039,13614,41884,4
42414,18826,6201,4
55015,13423,51180,5
54258,42671,8673,12
57249,26339,24427,12
22929,59147,58543,12
47558,48361,9416,0
24711,25459,12073,12
26044,26291,40724,1
46185,38668,5218,0
20865,6224,11222,12
48515,23775,44839,8
21437,53214,17601,12
12286,56978,54996,12
30072,50864,40232,1
11044,42571,45986,0
25003,13922,12131,4
32345,36243,1055,4
35455,6076,19502,4
7981,51864,7642,4
18000,40517,3243,4
5999,42230,25676,2
42737,36581,48136,0
49823,2447,26751,12
57768,40670,8336,9
13637,23979,50797,8
8422,29488,40571,4
2899,24275,30419,12
53962,20400,50130,12
16878,20893,46176,4
59479,26876,45357,8
10188,11421,31448,8
2384,25710,25317,8
45298,35434,28157,8
48770,32167,473,8
21112,521,46432,0
39763,14169,59995,8
12022,50870,40602,2
110,26411,57963,12
51193,52277,51236,0
3603,5549,32349,4
49108,1927,23234,1
33096,18882,25814,2
57087,43640,20281,4
57444,1680,26476,1
37402,6290,37820,10
8256,54815,31855,12
29052,39824,41877,12
18890,57218,10144,12
34456,31663,35044,12
37795,17127,16548,0
57875,59224,14703,0
33075,10410,2212,0
37121,53551,8386,0
50476,31077,52989,12
11161,57911,37325,1
43900,21560,8974,1
11614,555,43707,12
4635,21675,12079,0
39407,50393,15523,2
23898,32841,30980,8
18404,28497,16974,0
16457,27356,54357,4
42237,20226,24160,0
27439,36986,54545,12
57586,7844,37703,12
57857,20238,9960,4
59871,17297,27900,0
7084,226,33350,1
26718,57647,56209,4
57063,15853,50740,12
53277,36448,9659,0
41110,2132,23638,2
38655,39208,33134,8
6180,21551,51732,12
14739,34470,46053,4
11374,59637,32628,12
19879,51238,44715,13
24928,31086,16107,0
34844,52142,25080,1
